"[training], test",model_id,RMSE,MARD,MAE,A,B,C,D,E,A,B,C,D,E,precision,recall,F1,lag
"[['575-ws-training'], '575-ws-training', '575-ws-training']",id_2021-01-02_211658_Ben,23.272681917789694,0.11322191811177063,15.9744983731709,0.8324125230202578,0.143646408839779,0.0,0.02394106813996317,0.0,0.8646408839779005,0.13167587476979742,0.003683241252302026,0.0,0.0,0.6764705882352942,0.40350877192982454,0.5054945054945055,"{'max_lag_time': '15', 'corr': 0.954463112784923}"
"[['570-ws-training'], '570-ws-training', '570-ws-training']",id_2021-01-02_211721_Ben,15.27331872599273,0.06924708526746287,11.914984652685549,0.9508982035928144,0.046706586826347304,0.0,0.0023952095808383233,0.0,0.962874251497006,0.037125748502994015,0.0,0.0,0.0,1.0,0.125,0.2222222222222222,"{'max_lag_time': '20', 'corr': 0.9836985976784006}"
"[['563-ws-training'], '563-ws-training', '563-ws-training']",id_2021-01-02_211740_Ben,19.754765197904963,0.11203262551907585,14.408249183097764,0.8792486583184258,0.08944543828264759,0.0008944543828264759,0.028622540250447227,0.0017889087656529517,0.8962432915921288,0.09123434704830054,0.008944543828264758,0.0035778175313059034,0.0,0.7692307692307693,0.36363636363636365,0.4938271604938272,"{'max_lag_time': '20', 'corr': 0.9766383071266798}"
"[['559-ws-training'], '559-ws-training', '559-ws-training']",id_2021-01-02_211759_Ben,20.43185753770915,0.1054400729145107,14.93269473294266,0.8692165330043183,0.1147439851943245,0.0,0.016039481801357187,0.0,0.904380012338063,0.0919185687847008,0.003701418877236274,0.0,0.0,0.7878787878787878,0.5531914893617021,0.65,"{'max_lag_time': '15', 'corr': 0.97363182117274}"
"[['591-ws-training'], '591-ws-training', '591-ws-training']",id_2021-01-02_211820_Ben,20.812685587031314,0.11555068718819396,14.874725176902011,0.8284182305630027,0.14209115281501342,0.0,0.029490616621983913,0.0,0.8534405719392315,0.14655942806076855,0.0,0.0,0.0,0.6,0.13636363636363635,0.22222222222222218,"{'max_lag_time': '20', 'corr': 0.9501313323691718}"
"[['588-ws-training'], '588-ws-training', '588-ws-training']",id_2021-01-02_211838_Ben,22.498717160636794,0.11574558930786648,16.497847966552015,0.8683385579937304,0.11833855799373041,0.0,0.013322884012539185,0.0,0.8612852664576802,0.13087774294670845,0.007836990595611285,0.0,0.0,1.0,0.37037037037037035,0.5405405405405406,"{'max_lag_time': '25', 'corr': 0.9826032238440696}"
"[['575-ws-training', '559-ws-training', '570-ws-training', '563-ws-training', '591-ws-training', '588-ws-training'], '575-ws-training', '575-ws-training']",id_2021-01-02_211912_Ben,23.350432752062293,0.11959182939808392,16.450929815202787,0.8204419889502762,0.1445672191528545,0.0,0.034990791896869246,0.0,0.8646408839779005,0.1279926335174954,0.007366482504604052,0.0,0.0,0.7368421052631579,0.24561403508771928,0.3684210526315789,"{'max_lag_time': '20', 'corr': 0.9658317523712375}"
"[['575-ws-training', '559-ws-training', '570-ws-training', '563-ws-training', '591-ws-training', '588-ws-training'], '570-ws-training', '570-ws-training']",id_2021-01-02_212032_Ben,16.132648904032912,0.07759234364083974,12.459204047061727,0.9401197604790419,0.05029940119760479,0.0,0.009580838323353293,0.0,0.9616766467065868,0.03832335329341317,0.0,0.0,0.0,,0.0,,"{'max_lag_time': '20', 'corr': 0.9807364635037915}"
"[['575-ws-training', '559-ws-training', '570-ws-training', '563-ws-training', '591-ws-training', '588-ws-training'], '563-ws-training', '563-ws-training']",id_2021-01-02_212126_Ben,20.761288554260776,0.11818302814909741,15.128671851860814,0.8658318425760286,0.1037567084078712,0.0008944543828264759,0.027728085867620753,0.0017889087656529517,0.8837209302325582,0.10196779964221825,0.01073345259391771,0.0035778175313059034,0.0,0.84,0.38181818181818183,0.5250000000000001,"{'max_lag_time': '25', 'corr': 0.9788063412263679}"
"[['575-ws-training', '559-ws-training', '570-ws-training', '563-ws-training', '591-ws-training', '588-ws-training'], '559-ws-training', '559-ws-training']",id_2021-01-02_212210_Ben,19.827970105390147,0.10432453202911127,14.601101702987647,0.8679827267119062,0.10980876002467613,0.0,0.022208513263417645,0.0,0.905613818630475,0.0931523750771129,0.0012338062924120913,0.0,0.0,0.7636363636363637,0.44680851063829785,0.563758389261745,"{'max_lag_time': '15', 'corr': 0.9788542965061028}"
"[['575-ws-training', '559-ws-training', '570-ws-training', '563-ws-training', '591-ws-training', '588-ws-training'], '591-ws-training', '591-ws-training']",id_2021-01-02_212329_Ben,21.202219507261226,0.11853511009122031,15.143780323093337,0.8185880250223414,0.14655942806076855,0.0,0.03485254691689008,0.0,0.8427167113494192,0.15281501340482573,0.004468275245755138,0.0,0.0,0.2857142857142857,0.045454545454545456,0.0784313725490196,"{'max_lag_time': '20', 'corr': 0.9583691363329772}"
"[['575-ws-training', '559-ws-training', '570-ws-training', '563-ws-training', '591-ws-training', '588-ws-training'], '588-ws-training', '588-ws-training']",id_2021-01-02_212428_Ben,22.16820464574395,0.1195266023483545,16.512235499965172,0.8510971786833855,0.12852664576802508,0.0,0.02037617554858934,0.0,0.8652037617554859,0.11755485893416928,0.017241379310344827,0.0,0.0,,0.0,,"{'max_lag_time': '25', 'corr': 0.9726988900051949}"
